"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61408","Lead to Opportunity to Trade-In full flow","","2026-04-23","passed","2026-04-23","","","",""
"","79516","Create and convert lead","","2026-04-23","passed","2026-04-23","","","",""
"","45807","Lead to Opportunity to Trade-In full flow","","2026-04-23","passed","2026-04-23","","","",""
"","114240","Lead to Quote full flow","","2026-04-23","passed","2026-04-23","","","",""
"","87846","Lead to Opportunity to Fleet Quote","","2026-04-23","passed","2026-04-23","","","",""
"","1653","Create and qualify lead","","2026-04-23","passed","2026-04-23","","","",""
"","102879","Create and convert lead","","2026-04-23","passed","2026-04-23","","","",""
"","64973","Cancel vehicle allocation orders","","2026-04-23","broken","2026-04-23","","","",""
"","81346","Create and convert lead","","2026-04-23","passed","2026-04-23","","","",""
"","1668","Create and qualify lead","","2026-04-23","passed","2026-04-23","","","",""
"","66779","Create Order from Dealer Portal","","2026-04-23","broken","2026-04-23","","","",""
"","1690","Create and qualify lead","","2026-04-23","passed","2026-04-23","","","",""
"","65392","Lead to Quote full flow","","2026-04-23","broken","2026-04-23","","","",""
"","87533","Lead to Opportunity to Trade-In full flow","","2026-04-23","passed","2026-04-23","","","",""
"","84632","Lead to Quote full flow","","2026-04-23","broken","2026-04-23","","","",""
"","1647","Create and qualify lead","","2026-04-23","passed","2026-04-23","","","",""
"","108226","Create and convert lead","","2026-04-23","passed","2026-04-23","","","",""
